"timetable_page_id","timetable_page_label","filename"
"4154E_As","LINEA 4154 - Ivrea Linee 1 (Bollengo - Bellavista) - 1sb (San Bernardo - Albiano)","4154E_As.html"
"4154E_Di","LINEA 4154 - Ivrea Linee 1 (Bollengo - Bellavista) - 1sb (San Bernardo - Albiano)","4154E_Di.html"
"4155E_As","LINEA 4155 - Ivrea Linee 2 (Chiaverano - Samone) - 2sb (Burolo - Samone)","4155E_As.html"
"4155E_Di","LINEA 4155 - Ivrea Linee 2 (Chiaverano - Samone) - 2sb (Burolo - Samone)","4155E_Di.html"
"4156E_As","LINEA 4156 - Andrate - Ivrea","4156E_As.html"
"4156E_Di","LINEA 4156 - Andrate - Ivrea","4156E_Di.html"
"4157E_As","LINEA 4157 - Ivrea Linea 3 (San Germano - Pavone)","4157E_As.html"
"4157E_Di","LINEA 4157 - Ivrea Linea 3 (San Germano - Pavone)","4157E_Di.html"
"4168E_As","LINEA 4168 - Ivrea Linea 4 (San Giovanni - Bellavista)","4168E_As.html"
"4168E_Di","LINEA 4168 - Ivrea Linea 4 (San Giovanni - Bellavista)","4168E_Di.html"
"41U_As","LINEA 41 - stazione Lingotto - Stupinigi - via Orbassano (Borgaretto)","41U_As.html"
"41U_Di","LINEA 41 - stazione Lingotto - Stupinigi - via Orbassano (Borgaretto)","41U_Di.html"
"42U_As","LINEA 42 - via Marsigli - via Ventimiglia ","42U_As.html"
"42U_Di","LINEA 42 - via Marsigli - via Ventimiglia ","42U_Di.html"
"43U_As","LINEA 43 - via Gorizia (Rivalta) - via Goito (Moncalieri)","43U_As.html"
"43U_Di","LINEA 43 - via Gorizia (Rivalta) - via Goito (Moncalieri)","43U_Di.html"
"44U_As","LINEA 44 - viale Partigiani (Collegno) - via Don Borio (Grugliasco)","44U_As.html"
"44U_Di","LINEA 44 - viale Partigiani (Collegno) - via Don Borio (Grugliasco)","44U_Di.html"
"4512E_As","LINEA 4512 - Ivrea - Castellamonte - Valchiusella","4512E_As.html"
"4512E_Di","LINEA 4512 - Ivrea - Castellamonte - Valchiusella","4512E_Di.html"
"4513E_As","LINEA 4513 - Ivrea - Traversella","4513E_As.html"
"4513E_Di","LINEA 4513 - Ivrea - Traversella","4513E_Di.html"
"4541E_As","LINEA 4541 - Ivrea Linee 6 (v. Saudino - Bioparco) - 6sb (v. Saudino - Loranze')","4541E_As.html"
"4541E_Di","LINEA 4541 - Ivrea Linee 6 (v. Saudino - Bioparco) - 6sb (v. Saudino - Loranze')","4541E_Di.html"
"4546E_As","LINEA 4546 - Albiano - Vestigne' (Scuolabus)","4546E_As.html"
"4546E_Di","LINEA 4546 - Albiano - Vestigne' (Scuolabus)","4546E_Di.html"
"45BU_As","LINEA 45 / - feriale, piazza Cosma e Damiano (Santena) - corso Bramante","45BU_As.html"
"45BU_Di","LINEA 45 / - feriale, piazza Cosma e Damiano (Santena) - corso Bramante","45BU_Di.html"
"45U_As","LINEA 45 - piazza Carducci (Santena) - corso Bramante (feriale)/corso Maroncelli (festivo)","45U_As.html"
"45U_Di","LINEA 45 - piazza Carducci (Santena) - corso Bramante (feriale)/corso Maroncelli (festivo)","45U_Di.html"
"46U_As","LINEA 46 - via Lombardore (Leini) - corso Bolzano","46U_As.html"
"46U_Di","LINEA 46 - via Lombardore (Leini) - corso Bolzano","46U_Di.html"
"47U_As","LINEA 47 - piazza Freguglia (Cavoretto) - corso Bramante","47U_As.html"
"47U_Di","LINEA 47 - piazza Freguglia (Cavoretto) - corso Bramante","47U_Di.html"
"48U_As","LINEA 48 - Ospedale San Luigi (Orbassano) - via Orbassano (Borgaretto)","48U_As.html"
"48U_Di","LINEA 48 - Ospedale San Luigi (Orbassano) - via Orbassano (Borgaretto)","48U_Di.html"
"49U_As","LINEA 49 - via Lombardia (Settimo T.se) - corso Bolzano","49U_As.html"
"49U_Di","LINEA 49 - via Lombardia (Settimo T.se) - corso Bolzano","49U_Di.html"
"4NU_As","LINEA 4 navetta - via degli Ulivi - piazza del Donatore di Sangue","4NU_As.html"
"4NU_Di","LINEA 4 navetta - via degli Ulivi - piazza del Donatore di Sangue","4NU_Di.html"
"4U_As","LINEA 4 - via delle Querce - strada del Drosso","4U_As.html"
"4U_Di","LINEA 4 - via delle Querce - strada del Drosso","4U_Di.html"
"5095E_As","LINEA 5095 - Forno - Rivarolo","5095E_As.html"
"5095E_Di","LINEA 5095 - Forno - Rivarolo","5095E_Di.html"
"50U_As","LINEA 50 - via delle Querce - piazza del Donatore di Sangue (feriale)/corso XI Febbraio (festivo)","50U_As.html"
"50U_Di","LINEA 50 - via delle Querce - piazza del Donatore di Sangue (feriale)/corso XI Febbraio (festivo)","50U_Di.html"
"5134E_As","LINEA 5134 - Forno - Busano - Cuorgne'","5134E_As.html"
"5134E_Di","LINEA 5134 - Forno - Busano - Cuorgne'","5134E_Di.html"
"5135E_As","LINEA 5135 - Rivarolo - San Benigno - Torino","5135E_As.html"
"5135E_Di","LINEA 5135 - Rivarolo - San Benigno - Torino","5135E_Di.html"
"5137E_As","LINEA 5137 - Rivarolo - Pont - Ceresole","5137E_As.html"
"5137E_Di","LINEA 5137 - Rivarolo - Pont - Ceresole","5137E_Di.html"
"5140E_As","LINEA 5140 - Pont - Valprato Soana","5140E_As.html"
"5140E_Di","LINEA 5140 - Pont - Valprato Soana","5140E_Di.html"
"5141E_As","LINEA 5141 - Pont - Frassinetto","5141E_As.html"
"5141E_Di","LINEA 5141 - Pont - Frassinetto","5141E_Di.html"
"5143E_As","LINEA 5143 - Cuorgne' - Ivrea","5143E_As.html"
"5143E_Di","LINEA 5143 - Cuorgne' - Ivrea","5143E_Di.html"
"5145E_As","LINEA 5145 - Rivarolo - Ivrea","5145E_As.html"
"5145E_Di","LINEA 5145 - Rivarolo - Ivrea","5145E_Di.html"
"5150E_As","LINEA 5150 - Castelnuovo Nigra - Cuorgne' Centro","5150E_As.html"
"5150E_Di","LINEA 5150 - Castelnuovo Nigra - Cuorgne' Centro","5150E_Di.html"
"51U_As","LINEA 51 - feriale, corso Vercelli (Park Stura) - corso Bolzano","51U_As.html"
"51U_Di","LINEA 51 - feriale, corso Vercelli (Park Stura) - corso Bolzano","51U_Di.html"
"52U_As","LINEA 52 - feriale, via Scialoja - piazzale Adua","52U_As.html"
"52U_Di","LINEA 52 - feriale, via Scialoja - piazzale Adua","52U_Di.html"
"5318E_As","LINEA 5318 - Castelnuovo Nigra - Castellamonte - Scarmagno","5318E_As.html"
"5318E_Di","LINEA 5318 - Castelnuovo Nigra - Castellamonte - Scarmagno","5318E_Di.html"
"5319E_As","LINEA 5319 - Campo - Muraglio - Rivarolo - Bosconero (EATON LIVIA)","5319E_As.html"
