"timetable_id","route_id","direction_id","start_date","end_date","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_time","end_time","timetable_label","service_notes","orientation","timetable_page_id","timetable_sequence","direction_name","include_exceptions","show_trip_continuation"
"55","11U","1","20260620","20260731","1","1","1","1","1","0","0","04:00:00","07:00:00","DIREZIONE: C. STATI UNITI Fer./VIA ALLASON Fest., PASSAGGI MATTUTINI","frequenza","horizontal","11U_As","0","","0","0"
"56","11U","1","20260620","20260731","1","1","1","1","1","0","0","21:00:00","27:00:00","DIREZIONE: C. STATI UNITI Fer./VIA ALLASON Fest., PASSAGGI SERALI","frequenza","horizontal","11U_As","1","","0","0"
"57","11U","1","20260620","20260731","0","0","0","0","0","1","0","04:00:00","07:00:00","DIREZIONE: C. STATI UNITI Fer./VIA ALLASON Fest., PASSAGGI MATTUTINI","frequenza","horizontal","11U_As","2","","0","0"
"58","11U","1","20260620","20260731","0","0","0","0","0","1","0","21:00:00","27:00:00","DIREZIONE: C. STATI UNITI Fer./VIA ALLASON Fest., PASSAGGI SERALI","frequenza","horizontal","11U_As","3","","0","0"
"59","11U","1","20260620","20260731","0","0","0","0","0","0","1","04:00:00","09:00:00","DIREZIONE: C. STATI UNITI Fer./VIA ALLASON Fest., PASSAGGI MATTUTINI","frequenza","horizontal","11U_As","4","","0","0"
"60","11U","1","20260620","20260731","0","0","0","0","0","0","1","21:00:00","27:00:00","DIREZIONE: C. STATI UNITI Fer./VIA ALLASON Fest., PASSAGGI SERALI","frequenza","horizontal","11U_As","5","","0","0"
"61","11U","0","20260620","20260731","1","1","1","1","1","0","0","04:00:00","07:00:00","DIREZIONE: VIA LEOPARDI (VENARIA), PASSAGGI MATTUTINI","frequenza","horizontal","11U_Di","0","","0","0"
"62","11U","0","20260620","20260731","1","1","1","1","1","0","0","21:00:00","27:00:00","DIREZIONE: VIA LEOPARDI (VENARIA), PASSAGGI SERALI","frequenza","horizontal","11U_Di","1","","0","0"
"63","11U","0","20260620","20260731","0","0","0","0","0","1","0","04:00:00","07:00:00","DIREZIONE: VIA LEOPARDI (VENARIA), PASSAGGI MATTUTINI","frequenza","horizontal","11U_Di","2","","0","0"
"64","11U","0","20260620","20260731","0","0","0","0","0","1","0","21:00:00","27:00:00","DIREZIONE: VIA LEOPARDI (VENARIA), PASSAGGI SERALI","frequenza","horizontal","11U_Di","3","","0","0"
"65","11U","0","20260620","20260731","0","0","0","0","0","0","1","04:00:00","09:00:00","DIREZIONE: VIA LEOPARDI (VENARIA), PASSAGGI MATTUTINI","frequenza","horizontal","11U_Di","4","","0","0"
"66","11U","0","20260620","20260731","0","0","0","0","0","0","1","21:00:00","27:00:00","DIREZIONE: VIA LEOPARDI (VENARIA), PASSAGGI SERALI","frequenza","horizontal","11U_Di","5","","0","0"
"67","1128E","1","20260620","20260731","1","1","1","1","1","0","0","","","DIREZIONE: Borgata Adrit - San Giorio - Bussoleno","dal lunedì al venerdì","horizontal","1128E_As","0","","0","0"
"68","1128E","1","20260620","20260731","0","0","0","0","0","1","0","","","DIREZIONE: Borgata Adrit - San Giorio - Bussoleno","sabato","horizontal","1128E_As","1","","0","0"
"69","1128E","1","20260620","20260731","0","0","0","0","0","0","1","","","DIREZIONE: Borgata Adrit - San Giorio - Bussoleno","domenica e festivi","horizontal","1128E_As","2","","0","0"
"70","1128E","0","20260620","20260731","1","1","1","1","1","0","0","","","DIREZIONE: Bussoleno - San Giorio - Borgata Adrit","dal lunedì al venerdì","horizontal","1128E_Di","0","","0","0"
