"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color","route_sort_order"
"LS1U","U","LS1","Leini - Settimo Torinese","LEINI -- SETTIMO TORINESE","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=LS1&Regol=OR","FF9900","0000FF","346"
"M1SU","U","M1S","bus sostitutivo metropolitana, stazione Fermi (Collegno) - stazione Bengasi","STAZIONE FERMI M1 -- STAZIONE BENGASI M1","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=M1S&Regol=OR","FF9900","0000FF","318"
"MEORU","U","MEOR","linea mercato Orbassano","LINEA MERCATO ORBASSANO -- LINEA MERCATO ORBASSANO","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=MEOR&Regol=OR","FF9900","0000FF","999"
"N04U","U","N04","notturna, piazza Vittorio Veneto - via delle Querce","PIAZZA VITTORIO VENETO -- VIA DELLE QUERCE (INV) / VOLPIANO (EST)","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=N04&Regol=OR","FF9900","0000FF","123"
"N04BU","U","N04B","notturna, via delle Querce - piazza Vittorio Veneto","VIA DELLE QUERCE -- P.ZA VITTORIO VENETO","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=N04B&Regol=OR","FF9900","0000FF","339"
"N08U","U","N08","notturna, piazza Vittorio Veneto - piazza Sofia","PIAZZA VITTORIO VENETO -- PIAZZA SOFIA (INV) / SETTIMO T.SE (EST)","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=N08&Regol=OR","FF9900","0000FF","333"
"N10U","U","N10","notturna, piazza Vittorio Veneto - via Massari","PIAZZA VITTORIO VENETO -- VIA MASSARI (INV) / CASELLE (EST)","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=N10&Regol=OR","FF9900","0000FF","127"
"OB1U","U","OB1","feriale, ospedale San Luigi (Orbassano) - via Volturno (Orbassano)","VIA VOLTURNO (ORBASSANO) -- OSPEDALE SAN LUIGI (ORBASSANO)","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=OB1&Regol=OR","FF9900","0000FF","120"
"RV2U","U","RV2","feriale, via Vicuna (Rivalta) - via Griva (Rivalta)","VIA GRIVA (RIVALTA) -- LAURA VICUNA (TETTI FRANCESI)","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=RV2&Regol=OR","FF9900","0000FF","121"
"S04U","U","S04","notturna, piazza Vittorio Veneto - piazzale Caio Mario","PIAZZA VITTORIO VENETO -- P.LE CAIO MARIO","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=S04&Regol=OR","FF9900","0000FF","124"
"S05U","U","S05","notturna, piazza Vittorio Veneto - piazza Cattaneo","PIAZZA VITTORIO VENETO -- PIAZZA CATTANEO (INV) / ORBASSANO (EST)","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=S05&Regol=OR","FF9900","0000FF","125"
"S05BU","U","S05B","notturna, piazza Vittorio Veneto - Rivalta","PIAZZA VITTORIO VENETO -- RIVALTA","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=S05B&Regol=OR","FF9900","0000FF","126"
"S18U","U","S18","notturna, piazza Vittorio Veneto - via Artom","PIAZZA VITTORIO VENETO -- VIA ARTOM (INV) / CANDIOLO (EST)","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=S18&Regol=OR","FF9900","0000FF","130"
"S18BU","U","S18B","notturna, piazza Vittorio Veneto - Vinovo","PIAZZA VITTORIO VENETO -- VINOVO","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=S18B&Regol=OR","FF9900","0000FF","131"
"S45U","U","S45","notturna, piazza Vittorio Veneto - Chieri","PIAZZA VITTORIO VENETO -- CHIERI","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=S45&Regol=OR","FF9900","0000FF","132"
"S45BU","U","S45B","notturna, piazza Vittorio Veneto - Santena","PIAZZA VITTORIO VENETO -- SANTENA","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=S45B&Regol=OR","FF9900","0000FF","133"
"SE1U","U","SE1","corso Vercelli (Park Stura) - via Lombardia (Settimo T.se)","VIA LOMBARDIA (SETTIMO T.SE) -- CORSO VERCELLI (PARK STURA)","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=SE1&Regol=OR","FF9900","0000FF","114"
"SE2U","U","SE2","feriale, corso Vercelli (Park Stura) - via Lombardia (Settimo T.se)","VIA LOMBARDIA (SETTIMO T.SE) -- CORSO VERCELLI (PARK STURA)","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=SE2&Regol=OR","FF9900","0000FF","115"
"SPXU","U","SPX","circolare, piazzale Basilica di Superga - piazza Vittorio Veneto","P.LE BASILICA DI SUPERGA -- P:ZA VITTORIO VENETO","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=SPX&Regol=OR","FF9900","0000FF","367"
"ST1U","U","STAR 1","via Bixio - corso Farini","VIA BIXIO -- CORSO FARINI","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=ST1&Regol=OR","FF9900","0000FF","15"
"ST2U","U","STAR 2","corso Massimo d'Azeglio - corso Bolzano","CORSO BOLZANO -- CORSO D AZEGLIO","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=ST2&Regol=OR","FF9900","0000FF","16"
"VE1U","U","VE1","viale Giordano Bruno (Venaria Reale) - via Monte Ortigara","VIA MONTE ORTIGARA -- V.LE G. BRUNO (VENARIA)","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=VE1&Regol=OR","FF9900","0000FF","116"
"VE2U","U","VE2","ospedale nuovo di Venaria Reale - via Iseppon (Venaria Reale)","VIA ISEPPON -- OSPEDALE VENARIA","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=VE2&Regol=OR","FF9900","0000FF","291"
"VEXU","T","VEX","Venaria Express (lun-ven), Torino - Reggia di Venaria","REGGIA DI VENARIA -- TORINO FIOCHETTO","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=VEX&Regol=OR","33CC00","000000","352"
"W01U","U","W01","notturna, piazza Vittorio Veneto - piazza Massaua","PIAZZA VITTORIO VENETO -- PIAZZA MASSAUA (INV) / ALPIGNANO (EST)","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=W01&Regol=OR","FF9900","0000FF","122"
"W15U","U","W15","notturna, piazza Vittorio Veneto - via Brissogne","PIAZZA VITTORIO VENETO -- VIA BRISSOGNE (INV) / COLLEGNO (EST)","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=W15&Regol=OR","FF9900","0000FF","128"
"W15BU","U","W15B","notturna, piazza Vittorio Veneto - via Brissogne","PIAZZA VITTORIO VENETO -- VIA BRISSOGNE","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=W15B&Regol=OR","FF9900","0000FF","129"
"W60U","U","W60","notturna, piazza Vittorio Veneto - piazza Manno","PIAZZA VITTORIO VENETO -- PIAZZA MANNO (INV) / PIANEZZA (EST)","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=W60&Regol=OR","FF9900","0000FF","135"
