ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
068000000823,halagmaw,,,Runcorn Road,,Runcorn Rd,,Runcorn Rd,,Runcorn Road,,,,,,NE,E0053153,Moore,Runcorn,,Runcorn,EN,Moore,EN,false,UKOS,357214,384104,-2.64424,53.35208,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
068000000824,halagmda,,,Runcorn Road,,Runcorn Rd,,Runcorn Rd,,Runcorn Road,,,,,,SW,E0053153,Moore,Runcorn,,Runcorn,EN,Moore,EN,false,UKOS,357220,384098,-2.64414,53.35203,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
068000000820,halpjajm,,,Manor Park,,Pembroke Court,,Warrington Road,,Pembroke Court,,,,In,,W,N0065325,Manor Park,Runcorn,,Runcorn,EN,Manor Park,EN,false,UKOS,355661,383993,-2.66755,53.35095,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
068000000821,halagmap,,,Keckwick Lane,,Keckwick Lane,,Keckwick Lane,,Runcorn Road,,,,,,NE,E0037824,Halton Moss,Moore,,Runcorn,EN,Halton Moss,EN,false,UKOS,356929,383801,-2.64848,53.34933,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
068000000822,halagmat,,,Keckwick Lane,,Keckwick Lane,,Keckwick Lane,,Runcorn Road,,,,,,SW,E0037824,Halton Moss,Moore,,Runcorn,EN,Halton Moss,EN,false,UKOS,356936,383797,-2.64837,53.3493,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
068000000068,haladgdg,,,Gooseberry Lane,,Gooseberry Lane,,Gooseberry Lane,,,,,,,,N,N0065324,Windmill Hill,Norton,,Runcorn,EN,Windmill Hill,EN,false,UKOS,355584,382356,-2.66848,53.33623,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,2016-09-30T07:37:35,6,new,active
068000000794,halagjpj,,,Gooseberry Lane,,Gooseberry Lane,,Gooseberry Lane,,Windmill Avenue East,,,,,,N,N0065324,Windmill Hill,Norton,,Runcorn,EN,Windmill Hill,EN,false,UKOS,355709,382176,-2.66657,53.33463,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
068000000795,halagjpm,,,Gooseberry Lane,,Gooseberry Lane,,Gooseberry Lane,,Windmill Hill Avenue East,,,,,,SW,N0065324,Windmill Hill,Norton,,Runcorn,EN,Windmill Hill,EN,false,UKOS,355714,382170,-2.6665,53.33457,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
068000000796,halagjpt,,,Adlington,,Adlington,,Adlington,,Windmill Hill Avenue East,,,,,,NW,N0065324,Windmill Hill,Norton,,Runcorn,EN,Windmill Hill,EN,false,UKOS,355641,382660,-2.66766,53.33897,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,2017-07-20T14:16:56,15,new,active
068000000797,halagjpw,,,Adlington,,Adlington,,Adlington,,Windmill Hill Avenue East,,,,,,SE,N0065324,Windmill Hill,Norton,,Runcorn,EN,Windmill Hill,EN,false,UKOS,355650,382667,-2.66753,53.33904,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,2017-07-20T14:15:10,7,new,active
